name,type,attribute,time,lat,lng
すし処 花,たつた揚げ,生駒市東生駒1丁目528-3,17:30～23:00（22:30LO）※昼は気まぐれで営業（事前要予約）,34.686314,135.717368
近畿フードシステム㈱ 生駒市役所地下食堂,たつた揚げ,"生駒市東新町8番38号
 大阪府門真市新橋長12-20（石道）",11:00～14:30,34.692021,135.700567
ＳＩＬＶＥＲ,たつた揚げ,生駒市元町1-8-1(ぴっくり商店街内),17:00～翌2:00,34.692415,135.697635
絶品鶏料理 さわや,たつた揚げ,生駒市元町1-1579 グリーンヒルいこま3F(生駒ケーブル連絡ビル内),11:00～23:00（22:00LO）※ランチは16:00（LO）,34.692759,135.696227
本家かまどや生駒店,たつた揚げ,生駒市東松ヶ丘17-2,8:00～20:00、水曜8:00～14:00,34.699096,135.698383
本家かまどや東生駒駅前店,たつた揚げ,生駒市辻町996-16マンションキタII,10:00～21:30,34.692452,135.70953
串焼き 宗一郎,たつた揚げ,生駒市辻町753 諏訪東生駒ビル1F,17:00～翌0:00（23:00LO）,34.693478,135.709403
イオンリテール株式会社イオン登美ヶ丘店,たつた揚げ,生駒市鹿畑町3027番地,食品売り場7:00～23:00（衣料品・暮らしの品9:00～23:00、専門店街は営業時間が異なる）,34.693478,135.709403
手作りパン工房 ウーの森,たつた揚げ,生駒市小瀬町703-4,7:00～19:00,34.664963,135.708875
山小舎カフェ友遊由,たつた揚げ,生駒市西畑町1085,9:00～17:00,34.666007,135.672363
